,Image,Accuracy,F1,Jaccard,Recall,Precision
205,pexels-photo-298070_0,0.9834060668945312,0.978080562750058,0.9571014378414627,0.9831435633534584,0.9730694419378773
206,pexels-photo-301292_0,0.6902885437011719,0.8149053313119108,0.6876288897780788,0.9999272670307044,0.6876632845836267
207,pexels-photo-301341_0,0.9859733581542969,0.9799205998154246,0.9606316916488222,0.9879102850662291,0.9720591103118026
208,pexels-photo-305085_0,0.9708099365234375,0.6280019445794847,0.45772801360640636,0.8644271948608137,0.49312872194228125
209,pexels-photo-305269_Nj7WuMz6pD_0,0.9951057434082031,0.9727987788072169,0.9470381836945304,0.9781700349620533,0.9674861890102475
210,pexels-photo-307006_0,0.9920120239257812,0.9788454933020833,0.9585674713098535,0.9917297850562948,0.9662916866124143
211,pexels-photo-307790_0,0.9976272583007812,0.994276986492952,0.9886191059960112,0.9978761127322424,0.9907037295096996
212,pexels-photo-312081_0,0.9930305480957031,0.9684134091734237,0.9387611450023463,0.9697043141056714,0.9671259366690839
213,pexels-photo-313138_0,0.9897804260253906,0.9571586202485087,0.9178372078758511,0.982275905077625,0.9332938314725878
214,pexels-photo-314703_0,1.0,0.0,0.0,0.0,0.0
215,pexels-photo-316680_0,0.9805793762207031,0.9858140020898641,0.972024859464895,0.9995535991772664,0.9724470050136336
216,pexels-photo-319883_0,0.9933395385742188,0.9755229069702237,0.9522154410356057,0.991960085531005,0.9596215903135946
217,pexels-photo-319917_0,0.9918479919433594,0.985234676745134,0.9708990385924776,0.9799736096984358,0.9905525376161829
218,pexels-photo-319932_0,0.9679946899414062,0.964415679155816,0.9312768257920776,0.9581493342322602,0.9707645280827883
219,pexels-photo-320032_0,0.8268356323242188,0.9046981218429705,0.8259806176587849,1.0,0.8259806176587849
220,pexels-photo-321499_0,0.9950103759765625,0.9907135250266241,0.9815979403199258,0.9889722037165658,0.9924609891751184
221,pexels-photo-322484_0,0.9102706909179688,0.8414895480949365,0.7263547313804416,0.7293328816568738,0.9944096707917244
222,pexels-photo-322819_0,0.9941368103027344,0.9904592828012588,0.9810988956934504,0.9992109613746806,0.981859577872131
